Texas,Louisiana,Washington,New Jersey,Arkansas,Montana,North Dakota,Nebraska,New Mexico,Indiana,California,Ohio,South Carolina,Rhode Island,Michigan,Georgia,Wyoming,New Hampshire,Maryland,Mississippi,Connecticut,West Virginia,Iowa,Illinois,Vermont,Tennessee,Missouri,Wisconsin,North Carolina,Pennsylvania,Kentucky,Delaware,Kansas,Oregon,Massachusetts,Alabama,Arizona,Minnesota,Maine,Nevada,Idaho,Utah,Virginia,New York,Oklahoma,South Dakota,Colorado
10,2.84097,3.37939,0.647549,3.20073,2.10551,0.0772798,0.317628,3.2371,2.72335,0.964187,3.6598,0.446457,0.804237,0.468165,0.755685,6.30401,0.311785,0.070922,2.00849,8.81573,0.659413,1.41603,1.49854,2.05097,1.34553,1.37845,1.41003,0.661686,0.628731,1.35668,0.629651,0.293902,0.8626,1.39498,1.12005,10.4359,2.01836,1.16119,0.341472,4.28725,1.36502,1.1154,1.75344,2.68099,3.40386,0.945846,0.901601
11,3.87315,3.82638,0.387097,4.6438,3.61163,0.062422,0.275672,2.22063,3.41176,1.36295,4.62077,0.598156,0.799381,0.854701,0.683919,7.27884,1.63244,0.243309,2.738,10.8166,0.873563,1.19637,2.07254,3.09033,1.51873,2.36079,2.34292,0.693594,0.944729,2.00375,1.2874,0.504267,0.968867,2.06037,1.30649,13.0878,2.3027,1.0122,0.59952,3.46784,3.20553,1.10739,2.19585,3.84844,4.09441,1.51849,0.833503
12,3.40711,5.63071,2.45902,4.91358,2.5771,0.234926,0.0001,3.82883,3.87493,1.7327,4.6895,0.721306,1.17429,1.28881,0.899631,6.06827,1.46377,0.266046,3.6845,9.03389,0.853578,1.41386,1.45606,3.55156,1.81087,2.74332,2.68029,1.38822,1.58986,2.38516,0.954144,0.508974,1.36456,2.29709,1.4601,11.6592,1.51649,1.10533,0.644828,3.88664,2.59815,1.09006,2.3964,4.19925,4.9101,1.52446,1.06009
13,3.21248,4.38839,1.5224,3.95271,3.36738,0.0001,0.264901,3.00619,2.95452,1.75182,3.56213,0.914853,1.45963,0.588452,0.687039,4.82214,0.806285,0.328757,2.27061,6.75844,0.923191,1.24516,0.579065,2.99071,1.77179,1.69993,2.12687,0.801901,1.5266,2.10846,1.27095,0.783904,1.05792,1.22262,1.17914,9.73755,1.59667,1.37079,0.509198,3.08241,2.03906,0.519955,2.48912,2.87699,3.02847,1.40617,0.919508
14,4.05996,5.7204,1.21906,4.97268,4.84672,0.221926,0.118133,2.95939,2.89821,2.40376,3.79325,1.17144,2.46609,0.415937,0.833662,4.11148,1.06561,0.231774,2.36271,5.94459,1.04648,1.2586,0.459117,3.28357,1.48631,2.72602,2.35408,0.842289,2.53445,2.3239,0.710557,2.53041,1.06197,1.64506,1.69167,11.944,1.71146,1.06915,0.471204,3.31421,2.25623,2.5974,2.81105,3.45107,5.76184,1.7554,1.01411
15,4.73202,7.82892,0.721046,5.12435,6.77669,0.251004,0.768808,3.12049,3.72137,4.38823,4.02689,1.63964,2.48763,0.502842,1.0462,3.52076,2.36327,0.422744,4.12421,6.62632,1.18359,1.92201,1.00663,4.03462,1.74683,3.6452,2.2551,1.24703,3.98145,2.72705,1.49903,1.98627,1.60295,1.90359,1.52558,13.1063,2.38773,1.83651,0.75275,3.78455,3.5809,2.13816,3.97236,3.07852,10.3386,2.36777,1.14098
16,5.93439,6.63419,1.81388,5.90291,7.29689,0.207828,1.02814,4.47843,5.0758,6.90447,4.60501,2.40387,4.84551,0.950899,1.59031,4.36671,2.898,0.413456,3.80076,6.58129,1.07163,2.88373,2.19041,4.71879,2.17977,5.15049,3.66952,2.37759,4.89549,4.04659,2.02093,1.99336,2.84569,2.11458,1.86385,14.7376,2.33506,1.98138,1.03409,3.83545,3.4288,0.895355,4.7423,3.35509,14.4065,2.6757,1.88811
17,6.68052,10.046,2.81109,5.5993,6.48838,0.836972,1.22549,6.28019,5.56121,6.7716,4.33983,3.4932,7.12673,1.40503,1.73742,4.79551,2.92516,0.504732,4.0101,6.80856,1.64619,3.47316,2.61337,4.9683,2.47765,6.39836,5.05806,2.98987,5.62213,4.37266,3.20207,1.99868,3.31402,1.6229,2.37127,12.5984,2.43798,2.56631,1.47004,4.03184,3.94244,2.03178,5.34851,4.04412,12.8354,2.87303,2.52049
18,8.12867,7.28468,2.16644,5.86393,8.08052,0.355114,1.5978,3.68098,4.90175,6.07211,4.88711,2.26706,6.04218,2.31654,2.27731,4.87195,3.37715,0.725821,3.65262,6.14754,1.76373,3.98661,1.72855,4.23328,2.73263,6.27479,4.89771,2.93542,6.0716,3.74081,3.03882,2.1037,3.19528,2.25032,2.33142,11.5078,2.77627,2.51155,1.57754,3.71371,4.56026,2.90828,5.12923,3.89805,7.32127,3.20291,2.63779
19,8.26519,7.37081,4.14244,6.11392,8.18854,0.701262,2.25564,4.43182,6.43468,5.97522,5.07162,2.23717,4.84745,2.72609,2.29611,4.71214,2.60146,0.66166,3.05647,5.96418,1.98326,5.12116,2.19298,4.04362,3.43809,5.97049,6.10616,2.81324,5.03414,3.61821,2.14109,2.6928,3.72246,2.5634,2.65215,11.9696,2.63356,3.1493,2.27929,4.06365,6.01038,2.45478,5.14304,4.03668,7.16321,4.34783,2.92775
20,6.66045,5.05296,3.80721,6.69849,6.03429,1.10193,2.68235,8.24176,5.32783,5.02345,5.17402,1.90649,3.85022,4.95067,2.71023,4.05653,2.36935,0.766522,2.62542,5.0174,1.98091,5.45299,2.21029,3.85922,2.53743,3.57057,5.4344,2.76498,3.73912,3.40457,2.57244,2.32987,3.39597,1.81037,2.45628,9.67196,2.28608,2.98699,1.92711,4.06769,6.26091,1.88917,4.35908,3.74332,5.65058,4.16738,2.85625
21,4.58565,4.11286,3.46903,5.74113,6.93537,1.11654,3.01666,6.80219,4.83437,3.80817,5.00087,1.68197,2.88657,2.48051,2.1339,2.82145,2.28645,0.939249,2.14094,4.25786,1.34299,4.32385,2.18331,3.6953,2.28095,3.15196,3.89713,3.19263,2.25827,2.91082,1.78363,2.14613,3.08696,1.91172,1.93807,6.80203,1.71211,3.23099,1.90314,4.78919,5.59846,1.18407,3.47331,2.72493,4.77424,3.8888,2.67784
22,3.68025,3.54024,3.04946,5.05526,2.61015,0.801165,4.21801,5.88957,3.72878,2.72749,4.69447,1.48446,2.19114,2.27168,2.18373,2.36845,1.53282,0.529101,1.99212,4.01552,1.15734,2.60933,1.44017,3.19015,2.74522,2.14712,4.21369,3.12896,2.32629,2.76817,0.949242,1.68552,2.50417,2.09194,2.04345,5.82572,1.70064,2.84067,1.20046,3.27375,6.48731,1.89679,2.8357,2.7215,3.57379,3.50391,2.10423
23,2.84749,3.35263,3.64271,4.68859,3.26913,0.815376,2.21662,2.89517,3.60762,2.05007,4.4379,1.28231,1.43328,1.31332,1.70829,2.15871,1.10763,0.541883,1.66098,3.77297,0.888569,2.589,1.8766,3.373,2.12912,1.58316,2.54097,3.71758,1.47839,2.01834,0.63851,0.947763,1.76917,1.625,1.7797,4.04606,1.32819,2.80579,1.0707,3.08045,4.38749,1.53116,2.26876,3.02193,3.2034,2.76452,1.78431
24,3.1125,2.91683,3.06081,3.41036,2.31362,0.835189,2.26397,1.56352,2.85169,1.66513,3.29703,0.648695,0.769995,0.897505,1.31108,1.76585,0.770102,0.388199,1.77878,3.04018,0.355872,1.354,0.64433,2.63603,1.53347,0.632749,2.44453,1.02041,1.0581,1.58492,0.489316,0.526316,1.55869,1.64474,1.51078,3.43834,0.996642,2.38585,0.860451,4.29749,4.3877,1.22,1.85296,2.3114,1.86879,2.5306,1.37731
25,2.13536,1.82657,1.54696,4.60678,1.66325,0.4662,0.846702,1.16105,2.67527,0.984447,3.2,0.87309,0.792051,0.906649,1.08931,1.64046,1.11902,0.484352,1.22569,3.35792,0.673014,1.27412,0.568451,2.55181,1.67224,0.76575,1.99634,1.29545,0.838605,1.55592,0.700844,0.96858,1.13311,1.28979,1.5324,3.17374,1.11316,2.18437,0.793257,2.27938,2.83491,1.2719,1.81293,2.02105,1.21359,2.24277,0.984413
26,1.83216,2.48497,0.79858,3.39574,0.850906,0.27933,0.721848,0.894234,2.32261,0.922334,2.64683,0.615465,0.641026,0.701179,0.834344,1.52942,0.837521,0.196773,1.57288,3.13642,0.344308,0.940983,0.932599,2.15318,1.83993,0.703437,1.61195,1.00159,0.536536,1.68153,0.356102,0.475119,0.892174,1.00822,1.39126,2.74659,0.997526,2.04599,0.723634,2.21222,2.86096,0.752299,1.51176,2.22854,1.56685,1.35374,0.896684
27,1.67025,1.48567,0.970497,2.74671,0.438757,0.235018,0.794439,1.43939,1.72675,0.581147,2.57193,0.452128,0.500128,0.529021,0.558727,1.33095,0.515717,0.0591017,1.94079,3.1314,0.244275,0.704424,0.630915,1.57063,2.00573,0.55213,1.33698,0.79756,0.586047,1.41556,0.300405,0.11534,0.616165,0.965873,1.28155,2.67592,0.895053,1.40235,0.644531,2.11339,2.93392,0.963515,1.48654,2.3652,0.674252,0.913621,0.814396
28,1.66212,1.5376,1.38714,2.79318,0.675676,0.0297885,0.399734,1.05422,1.87243,0.474655,2.24199,0.355802,0.509698,0.464476,0.640349,1.32493,0.575576,0.0441501,1.95606,2.85882,0.230614,0.719499,0.442282,1.72191,1.43522,0.575935,0.99348,0.251397,0.370714,0.970285,0.187166,0.082012,0.562141,1.07246,1.25237,2.76866,1.09028,1.32867,0.563317,3.12605,1.48645,0.579542,1.3181,2.23407,0.592969,1.00823,0.764121
29,1.4454,1.90088,0.649087,2.76842,0.455754,0.0001,0.210416,0.513834,1.75745,0.513118,2.34436,0.375144,0.248098,0.71474,0.49864,1.35877,0.347136,0.161253,1.05199,2.72215,0.23084,0.635055,0.552995,1.52495,1.32743,0.385999,0.711214,0.440529,0.275451,0.976213,0.183804,0.0457247,0.688073,0.959752,0.991172,3.28311,0.835587,1.01429,0.46474,1.55288,1.86047,0.257927,1.05721,1.35642,0.293686,0.880395,0.909698
30,1.62718,1.50696,0.720721,2.01081,0.630347,0.0001,0.246305,0.421546,1.65705,0.443973,2.14632,0.6618,0.230061,0.390747,0.556691,1.30999,0.252434,0.0752257,1.13264,2.32148,0.119296,0.414612,0.242131,1.34804,1.514,0.108425,0.603942,0.42125,0.320739,1.03274,0.554486,0.0863309,0.4769,0.924745,0.912764,3.00455,0.772679,0.588957,0.49682,2.51242,1.58513,0.31746,1.07273,1.66576,0.310421,0.602007,0.759519
31,1.7883,0.747833,0.580781,2.22222,0.711744,0.0001,0.0683527,0.283286,1.75462,0.683028,2.05279,0.387558,0.0586625,0.0499002,0.584429,1.45429,0.692308,0.0706048,1.01451,2.40229,0.128425,0.387755,0.167411,1.59068,1.96672,0.0807475,0.901051,0.227661,0.405581,0.996843,0.133925,0.0455996,0.424309,0.929924,0.750159,2.64628,0.686106,0.582165,0.508233,2.4206,1.45138,0.333333,1.06423,1.72106,0.387973,0.627521,0.604343
32,1.43878,1.0801,0.498132,2.69103,0.520382,0.0001,0.342759,0.395062,1.55547,0.520077,2.13285,0.485879,0.130208,0.019992,0.840106,1.57802,0.424809,0.0680735,0.850209,2.18672,0.0940291,0.335802,0.169683,1.19695,1.4565,0.0551876,0.717913,0.524292,0.313559,1.0065,0.126823,0.107643,0.638298,1.07901,0.812329,2.46441,0.569434,0.756474,0.370028,0.789052,1.8346,0.364577,1.1395,0.703443,0.215703,0.522938,0.627459
33,1.18284,1.1524,0.18018,2.94975,1.03627,0.0001,0.0001,0.185071,1.61633,0.458475,2.10667,0.285442,0.260465,0.0237699,0.527108,1.24069,0.166875,0.03125,1.2498,2.27182,0.0626566,0.40349,0.115741,1.23846,1.1976,0.0248201,0.804039,0.41021,0.622249,0.862225,0.0486204,0.0001,0.667022,0.645819,0.954948,2.72831,0.555511,0.59795,0.519802,0.67815,1.55424,0.273444,0.999368,1.56349,0.229226,0.518623,0.59322
34,1.47219,0.851813,0.297177,2.52839,0.939306,0.0001,0.162075,0.183374,1.56185,0.721805,2.5765,0.486244,0.132567,0.030012,0.542265,1.32078,0.182232,0.0448229,0.889371,2.40786,0.174672,0.411061,0.0674764,1.68385,1.12641,0.0283006,0.0808407,0.421496,0.607571,1.004,0.323466,0.0001,0.517148,0.814053,0.914855,2.54511,0.550731,0.524738,0.643537,0.731602,2.35294,0.207684,1.01137,1.77814,0.047824,0.507343,0.55124
35,1.0381,0.968153,0.332226,2.77982,0.686642,0.0001,0.0001,0.330251,1.39423,0.432961,2.26424,0.210239,0.21322,0.0243368,0.53505,0.965748,0.20284,0.0001,1.41586,2.13416,0.070922,0.367069,0.0001,1.2613,1.06724,0.0731172,0.103448,0.121729,0.533668,1.02332,0.042793,0.0001,0.465477,0.575595,0.875651,2.38925,0.468237,0.523722,0.442369,1.03003,1.70604,0.313112,0.964833,0.14752,0.195886,0.418994,0.433862
36,1.20398,1.14943,0.268097,3.07871,0.926999,0.0001,0.0001,0.0875657,1.51659,0.441631,1.84762,0.0583771,0.167584,0.0242483,0.55197,0.817922,0.326087,0.0001,1.78476,1.88371,0.0001,0.470527,0.0001,1.10723,0.586166,0.0276167,0.03885,0.111359,0.605469,0.697869,0.0802837,0.0001,0.152905,1.07849,0.940344,2.51859,0.392619,0.436554,0.403035,0.882801,1.49102,0.27362,0.911056,0.0909091,0.297619,0.541942,0.372321
37,1.09499,0.973157,0.0001,2.93454,0.393185,0.0001,0.0001,0.168067,0.875827,0.310973,1.73298,0.0741198,0.119104,0.0243132,0.482464,0.667853,0.279799,0.0367107,1.20923,1.8323,0.0001,0.186111,0.0001,1.06486,1.18765,0.0375141,0.315831,0.395604,0.637996,0.810081,0.0732064,0.0001,0.38835,1.29577,0.814392,1.79372,0.409738,0.811416,0.365764,0.754663,1.60446,0.204012,0.82836,0.134901,0.0001,0.393604,0.310244
38,1.44139,1.04512,0.0001,0.885138,0.4329,0.0001,0.0766871,0.0656599,0.856766,0.517443,1.67684,0.277497,0.221511,0.0288517,0.616509,0.607222,0.102934,0.041876,1.21014,1.63593,0.0001,0.222338,0.0001,1.24786,0.645919,0.0131216,0.109131,0.427148,0.654332,0.624086,0.211351,0.0001,0.107267,0.780814,0.74462,2.36038,0.385402,0.334753,0.466029,0.644963,1.25705,0.408598,0.817877,0.13616,0.175336,0.310188,0.250892
39,1.09916,0.739982,0.0001,0.278035,0.260417,0.0001,0.0001,0.123609,1.1833,0.44712,1.68774,0.294551,0.265565,0.0639182,0.580739,0.744043,0.170455,0.0001,2.39544,1.7163,0.0001,0.337781,0.0794281,1.5216,0.759975,0.0176149,0.162668,0.291886,0.677613,0.821396,0.0508337,0.0001,0.109111,0.648088,0.771683,1.84216,0.469806,0.936262,0.873485,0.388814,0.899594,0.481314,0.723917,0.0538358,0.172414,0.55142,0.422777
40,1.11008,0.91623,0.0001,0.226693,0.260417,0.0001,0.0001,0.0517063,0.944753,0.235651,1.60432,0.0705384,0.113604,0.0001,0.431365,0.598637,0.251256,0.0001,1.28183,1.64122,0.0001,0.184623,0.0001,0.822823,0.711322,0.0123153,0.109569,0.29301,0.422692,0.538529,0.0309483,0.0001,0.0996016,0.557414,0.75144,1.88256,0.449364,0.358423,0.59657,0.500303,0.645161,0.0862515,0.629352,0.0580608,0.106157,0.501672,0.30888
41,0.794791,1.22133,0.0001,0.107411,0.0001,0.0001,0.0001,0.148478,1.21225,0.298039,1.45437,0.0965018,0.102643,0.0530504,0.385826,0.513128,0.188679,0.0329381,1.20808,1.83892,0.0001,0.0858369,0.0001,1.14027,0.8329,0.0131406,0.0745156,0.157563,0.317383,0.599161,0.187023,0.0001,0.40311,0.312663,0.742563,1.3618,0.36858,0.468604,0.604011,0.45427,0.925658,0.318544,0.625742,0.145591,0.102934,0.459418,0.406306
42,0.927915,1.13324,0.0001,0.282486,0.127065,0.0001,0.0001,0.264375,0.942211,0.280987,1.35141,0.0353607,0.376344,0.0001,0.299341,0.629303,0.121212,0.0001,2.37726,1.51907,0.0001,0.128995,0.0001,1.18249,1.0981,0.0001,0.0380807,0.262329,0.37921,0.527498,0.0130993,0.0001,0.344149,0.542005,0.708665,1.3122,0.328126,0.16116,0.450024,0.516717,0.657462,0.208171,0.673763,0.137255,0.101317,0.571837,0.368984
43,0.947032,0.872698,0.0001,0.376921,0.0001,0.0001,0.140174,0.0746269,0.958525,0.212379,0.553292,0.162115,0.178518,0.0262261,0.564738,0.690295,0.095057,0.0308071,1.723,1.46256,0.0001,0.0747384,0.0919118,1.39115,1.01083,0.0244828,0.122599,0.0478011,0.262342,0.519427,0.227768,0.0001,0.192555,0.448934,0.651452,0.340219,0.418026,0.562676,0.36036,0.558824,0.387366,0.085034,0.560293,0.17105,0.0507099,0.528973,0.479629
44,0.820541,1.08269,0.0001,0.725295,0.753012,0.0001,0.180738,0.134953,0.948947,0.192864,1.35688,0.172138,0.140174,0.0001,0.433866,0.807668,0.121457,0.0001,1.02555,1.61967,0.0001,0.118501,0.0840336,1.01159,0.996016,0.0232019,0.0385802,0.231267,0.275344,0.628995,0.0001,0.0001,0.208932,0.484131,0.679427,1.79206,0.307596,0.362538,0.417478,0.431034,0.697604,0.261097,0.588899,0.125418,0.0001,0.430725,0.351199
45,0.965857,1.12234,0.0001,0.374208,0.380228,0.0001,0.197336,0.369822,1.15533,0.240215,1.1637,0.0472701,0.0896057,0.0001,0.430946,0.911454,0.230203,0.0314465,0.927578,1.95423,0.135962,0.18372,0.0001,1.14914,1.81818,0.0623377,0.0346861,0.111919,0.531915,0.575717,0.013289,0.0001,0.0457352,0.383693,0.607253,2.1645,0.436195,0.950119,0.481155,0.447524,0.71964,0.218775,0.677421,0.131926,0.30722,0.334821,0.392137
46,1.01165,1.44716,0.0791766,0.288517,0.576369,0.0001,0.282021,0.191083,1.18256,0.337634,1.34833,0.10066,0.0569909,0.0001,0.493612,1.19306,0.154381,0.0001,1.46699,2.57653,0.0541712,0.429693,0.0540541,1.21631,1.49254,0.069993,0.0318167,0.319149,0.293794,0.47421,0.0193361,0.0001,0.263852,0.359343,0.601852,2.3037,0.586,0.56164,0.471175,0.498753,0.418911,0.273491,0.774693,0.0888099,0.326397,0.471592,0.40142
47,1.43408,1.36734,0.0001,0.262536,0.663507,0.0001,0.245317,0.31348,1.89318,0.327392,1.47857,0.0569801,0.07357,0.101112,0.696587,1.1908,0.263736,0.032,1.20512,2.05144,0.0001,0.38625,0.212202,1.3125,1.45202,0.141898,0.141603,0.287356,0.43691,0.530273,0.0494153,0.0001,0.419132,0.484914,0.620629,2.34438,0.67383,0.761773,0.60551,0.358262,1.23423,0.345599,0.723238,0.157159,0.285225,0.550297,0.615878
48,1.72981,1.70683,0.0934579,0.3003,0.914286,0.0001,0.327941,0.932994,1.5885,0.464989,1.60215,0.125278,0.0830392,0.0875465,0.679423,1.49351,0.420561,0.0001,1.13186,2.48053,0.0001,0.347267,0.331565,1.41258,2.0202,0.179662,0.247219,0.215332,0.389788,0.614539,0.0483994,0.0001,0.869133,0.561167,0.578256,3.44828,0.431582,0.646478,0.602601,0.558735,1.29168,0.324374,0.800381,0.152759,0.40783,0.644681,0.642398
49,1.65811,1.98413,0.078064,0.318979,1.09671,0.0001,0.424628,3.05206,1.66233,0.382742,1.74891,0.21846,0.146924,0.0691324,0.542495,1.3952,0.386399,0.0297885,1.08325,2.35249,0.0477327,0.624311,0.696056,1.33621,2.17391,0.28157,0.254813,0.211034,0.562852,0.815472,0.0455937,0.0001,0.981461,1.05332,0.637241,3.55951,0.498943,1.0107,0.402414,0.608026,0.657895,0.310238,0.916186,0.127805,0.865426,0.540662,0.644817
50,1.60235,3.1651,0.22409,0.458891,0.827206,0.0530223,0.593692,1.09546,1.44248,0.654159,1.75994,0.103135,0.179921,0.10915,0.440233,1.30154,0.713719,0.08726,2.0957,2.43185,0.0001,0.879205,0.284206,1.93042,1.10926,0.3606,0.270433,0.519781,0.52098,0.978735,0.0278257,0.0001,0.590909,1.14144,0.667404,3.38738,0.457754,1.0989,0.423392,0.541932,0.857679,0.765543,1.08084,0.282595,0.316313,0.462749,0.727571
51,1.4147,2.97633,0.0001,0.577327,0.498008,0.0001,0.496175,0.933707,1.99089,0.850359,1.84745,0.212718,0.103609,0.199601,0.653808,1.6361,0.439722,0.150466,1.8797,2.79782,0.0240096,0.694281,0.51458,1.53657,1.27728,0.42677,0.161421,0.501771,0.858681,0.778919,0.0636689,0.0001,0.88229,0.750268,0.837664,3.46445,0.516018,1.75369,0.390219,0.773054,0.841884,0.725454,1.21326,0.323494,0.625782,0.609756,0.751578
52,1.86712,2.84851,0.505386,0.892694,0.753348,0.0001,0.67955,0.592639,1.77268,0.835991,1.80295,0.494387,0.263539,0.169309,0.600171,1.4885,0.445765,0.120518,2.00724,2.62725,0.0771208,0.653872,1.03508,1.83997,1.43991,0.432601,0.900155,0.763807,0.350666,0.728934,0.429235,0.160772,0.908174,0.264473,0.66041,2.49486,0.697181,0.694883,0.387205,0.415097,0.914077,2.03367,1.24903,0.532345,1.56483,0.759828,0.744344
53,1.67872,2.89159,0.495616,0.786838,0.866406,0.0907853,0.636816,0.379703,1.41792,1.1312,2.06534,0.651205,0.27881,0.10597,0.606742,1.47743,0.435066,0.253646,1.71179,2.59877,0.106338,0.746719,1.2098,1.64447,1.52211,0.399626,0.831085,0.410628,0.583957,0.819881,0.315082,0.113058,0.815596,0.67861,1.1542,2.82808,0.65652,0.848806,0.474415,0.428521,1.25885,1.5859,1.35433,0.553468,1.04128,1.16589,0.567713
54,2.03903,2.45195,0.395257,0.849558,1.30332,0.039604,0.622051,0.284991,1.88524,1.21314,2.38294,0.677744,0.151953,0.241619,0.571845,1.30289,0.774239,0.128182,1.38594,2.61265,0.365591,0.713054,1.12943,1.65353,1.06132,0.383643,0.718889,0.61546,0.793962,0.806645,0.251372,0.0638162,0.762995,0.582686,0.933121,3.4254,0.720644,1.55971,0.451739,0.507265,1.18925,1.57322,1.28256,0.440685,1.2191,0.769625,0.572413
55,2.02721,2.35048,0.467738,0.800712,1.00068,0.15949,0.341807,2.12194,2.13822,1.06163,2.29128,0.620535,0.260383,0.25887,0.514484,1.38503,0.767583,0.384053,1.82885,2.69223,0.190718,0.848182,0.862878,1.69384,1.23529,0.546111,0.690193,0.899101,0.740942,0.905021,0.356194,0.0831947,0.892172,0.581751,1.02051,3.83396,0.819184,1.06683,0.645856,0.626484,1.52601,1.64063,1.38842,0.41135,0.785855,0.918044,0.631621
